parts_code,item_name,master_flg
CHEST,ベンチプレス,1
CHEST,インクラインベンチプレス,1
CHEST,ダンベルベンチプレス,1
CHEST,ダンベルフライ,1
CHEST,インクラインダンベルフライ,1
CHEST,スミスマシンベンチプレス,1
CHEST,スミスマシンインクラインベンチプレス,1
CHEST,チェストプレスマシン,1
CHEST,ペックデッキフライ,1
CHEST,ケーブルフライ,1
CHEST,ワンハンドケーブルフライ,1
CHEST,ケーブルクロスオーバー,1
CHEST,ダンベルプルオーバー,1
CHEST,ディップス,1
CHEST,加重ディップス,1
CHEST,ディップチンアシスト,1
CHEST,腕立て伏せ,1
BACK,ラットプルダウン,1
BACK,チンアップ,1
BACK,懸垂（順手）,1
BACK,加重プルアップ,1
BACK,アシストプルアップマシン,1
BACK,シーテッドケーブルロウ,1
BACK,シーテッドロウマシン,1
BACK,ワンハンドシーテッドケーブルロウ,1
BACK,ワンハンドダンベルロウ,1
BACK,ベントオーバーロウ,1
BACK,ローローマシン,1
BACK,ケーブルEZバープレスダウン,1
BACK,Tバーロウ,1
SHOULDER,オーバーヘッドプレス,1
SHOULDER,アーノルドプレス,1
SHOULDER,シーテッドダンベルプレス,1
SHOULDER,インクラインダンベルショルダープレス,1
SHOULDER,ショルダープレスマシン,1
SHOULDER,ショルダーブレスマシン,0
SHOULDER,ダンベルサイドレイズ,1
SHOULDER,シーテッドダンベルサイドレイズ,1
SHOULDER,ワンハンドケーブルサイドレイズ,1
SHOULDER,ワンハンドダンベルインクラインサイドレイズ,1
SHOULDER,ダンベルフロントレイズ,1
SHOULDER,EZバーアップライトロウ,1
SHOULDER,リアデルトマシン,1
SHOULDER,フェイスプル,1
ARM,バーベルカール,1
ARM,EZバーカール,1
ARM,ダンベルカール,1
ARM,インクラインダンベルカール,1
ARM,ダンベルプリーチャーカール,1
ARM,ハンマーカール,1
ARM,ケーブルカール,1
ARM,ナローベンチプレス,1
ARM,EZバーライイングトライセプスエクステンション,1
ARM,ダンベルフレンチプレス,1
ARM,ケーブルプレスダウン,1
ARM,ケーブルローププッシュダウン,1
LEG,バックスクワット,1
LEG,バッグスクワット,0
LEG,スミスマシンスクワット,1
LEG,デッドリフト,1
LEG,ルーマニアンデッドリフト,1
LEG,レッグプレス,1
LEG,シーテッドレッグプレス,1
LEG,ダンベルブルガリアンスクアット,1
LEG,スプリットスクワット,1
LEG,ランジ,1
LEG,レッグエクステンション,1
LEG,レッグカール,1
LEG,ヒップスラストマシン,1
LEG,ヒップスラスト,1
LEG,カーフレイズ,1
